Zodis                     | Kiekis
----------------------------------------
a                         | 384
aaaaaayo                  | 2
abc                       | 6
able                      | 6
about                     | 19
absolute                  | 3
absolutely                | 2
academy                   | 4
accepted                  | 4
accolades                 | 2
accompanied               | 2
accompanying              | 2
according                 | 5
achievement               | 6
acoustic                  | 2
across                    | 4
act                       | 7
action                    | 2
acts                      | 5
adam                      | 47
add                       | 2
added                     | 3
addiction                 | 2
addition                  | 2
additional                | 2
adele                     | 2
africa                    | 6
after                     | 35
afternoon                 | 2
again                     | 16
ages                      | 2
ago                       | 2
agree                     | 2
aid                       | 26
aids                      | 9
aired                     | 2
aires                     | 3
album                     | 113
albums                    | 52
alive                     | 7
all                       | 48
allen                     | 3
allmusic                  | 21
allmusicdead              | 3
alltime                   | 3
almost                    | 4
alone                     | 3
along                     | 8
already                   | 3
also                      | 47
although                  | 4
always                    | 4
ambassadors               | 2
america                   | 15
american                  | 19
among                     | 6
amount                    | 2
an                        | 54
and                       | 522
andrew                    | 3
andy                      | 4
angeles                   | 10
anniversary               | 10
announce                  | 3
announced                 | 9
another                   | 17
anthemic                  | 2
anthems                   | 4
anthony                   | 5
any                       | 4
anywhere                  | 2
appear                    | 3
appearance                | 7
appearances               | 2
appeared                  | 12
appearing                 | 3
appears                   | 3
april                     | 85
archive                   | 4
archived                  | 309
archives                  | 2
are                       | 50
arena                     | 6
arenas                    | 2
argentina                 | 3
around                    | 6
arrangement               | 5
art                       | 5
article                   | 6
articles                  | 2
artist                    | 9
artistic                  | 2
artists                   | 15
as                        | 135
aside                     | 2
asked                     | 2
associated                | 2
at                        | 216
atlantic                  | 2
attack                    | 11
attempt                   | 2
attendance                | 2
attending                 | 2
attention                 | 2
attract                   | 3
attributed                | 3
audience                  | 14
audiences                 | 2
audio                     | 3
august                    | 67
aurum                     | 2
australia                 | 11
australian                | 7
authors                   | 2
available                 | 5
award                     | 27
awarded                   | 4
awards                    | 24
awareness                 | 2
back                      | 10
background                | 2
backing                   | 14
backstage                 | 5
bad                       | 2
baker                     | 14
ballad                    | 4
ballet                    | 2
band                      | 136
bands                     | 44
baron                     | 6
barry                     | 4
based                     | 4
bass                      | 17
bassist                   | 4
bay                       | 2
bbc                       | 58
bbcs                      | 2
be                        | 40
beach                     | 4
bear                      | 4
beatles                   | 8
became                    | 22
because                   | 7
become                    | 4
becomes                   | 3
becoming                  | 3
been                      | 31
before                    | 21
began                     | 10
begin                     | 2
behind                    | 5
being                     | 15
belfast                   | 3
beloved                   | 3
ben                       | 5
benefit                   | 3
best                      | 27
bestselling               | 12
between                   | 7
bibliography              | 2
bicycle                   | 2
big                       | 2
biggest                   | 6
bill                      | 2
billboard                 | 37
billion                   | 2
billy                     | 2
biographical              | 2
biography                 | 9
biopic                    | 4
birthday                  | 2
bites                     | 9
blabbermouth              | 2
black                     | 9
blake                     | 65
blender                   | 2
bmi                       | 4
bogie                     | 2
bohemian                  | 54
book                      | 12
books                     | 6
bootleg                   | 3
bootlegged                | 2
bootlegs                  | 2
boston                    | 2
both                      | 13
bottomed                  | 3
boulevard                 | 2
bowie                     | 10
bowl                      | 2
box                       | 4
bpi                       | 3
brazil                    | 4
break                     | 3
brian                     | 49
brighton                  | 2
bring                     | 2
brit                      | 4
british                   | 35
broadcast                 | 9
brooklyn                  | 2
brothers                  | 3
brought                   | 3
bruce                     | 3
bts                       | 2
buckingham                | 3
budapest                  | 3
buenos                    | 3
built                     | 3
bulsara                   | 4
business                  | 3
but                       | 33
by                        | 111
call                      | 2
called                    | 10
came                      | 4
camera                    | 2
camp                      | 2
can                       | 4
canada                    | 7
cancelled                 | 4
cannot                    | 2
cape                      | 2
capital                   | 2
capitol                   | 3
cappella                  | 3
care                      | 2
career                    | 3
carl                      | 2
carrie                    | 2
catalogue                 | 6
categories                | 2
cause                     | 2
cbs                       | 2
cd                        | 5
central                   | 2
century                   | 5
ceremony                  | 9
certifications            | 2
certified                 | 8
chad                      | 2
champions                 | 30
change                    | 5
changed                   | 4
changing                  | 2
channel                   | 5
charity                   | 4
chart                     | 19
charted                   | 2
charting                  | 2
charts                    | 15
chemical                  | 2
chicago                   | 2
child                     | 2
choir                     | 6
chorus                    | 2
chose                     | 2
chris                     | 6
christmas                 | 5
christopher               | 2
chronology                | 3
cited                     | 3
cities                    | 2
city                      | 4
clapping                  | 3
clashed                   | 2
classic                   | 22
cliff                     | 2
clip                      | 2
close                     | 3
closed                    | 2
closing                   | 6
club                      | 3
cnn                       | 5
cohen                     | 7
coin                      | 3
cold                      | 8
collaboration             | 7
collection                | 6
college                   | 8
combined                  | 2
combines                  | 3
come                      | 6
comedy                    | 3
comes                     | 4
commemorate               | 2
commented                 | 3
common                    | 2
commons                   | 2
companies                 | 2
company                   | 13
compared                  | 2
compatible                | 2
competition               | 3
compilation               | 7
complete                  | 5
completed                 | 4
completely                | 2
complex                   | 5
complication              | 2
composed                  | 4
composers                 | 2
computer                  | 2
concept                   | 2
concert                   | 52
concertography            | 2
concerts                  | 13
condition                 | 2
conducted                 | 2
confirmed                 | 3
considered                | 2
contacted                 | 2
contained                 | 3
contains                  | 3
contest                   | 2
contestant                | 2
continued                 | 2
contract                  | 6
contributed               | 2
contribution              | 4
conventional              | 2
copies                    | 10
copy                      | 2
corgan                    | 2
coronation                | 2
cosmos                    | 2
cost                      | 2
could                     | 13
couldnt                   | 2
countries                 | 6
country                   | 2
course                    | 4
court                     | 2
cover                     | 9
covered                   | 2
crab                      | 2
crazy                     | 12
create                    | 5
created                   | 5
creative                  | 4
credited                  | 6
crest                     | 2
critical                  | 3
critics                   | 6
crowd                     | 5
crowds                    | 2
crown                     | 5
cult                      | 3
cultural                  | 2
culture                   | 2
current                   | 3
daily                     | 8
daniel                    | 2
dark                      | 2
darkness                  | 3
date                      | 3
dates                     | 8
dave                      | 3
david                     | 20
day                       | 24
days                      | 5
de                        | 4
deacon                    | 22
dead                      | 4
deadline                  | 3
deal                      | 7
dean                      | 14
death                     | 12
debut                     | 4
decades                   | 8
december                  | 84
decided                   | 4
dedicated                 | 4
deep                      | 2
def                       | 3
definitive                | 4
demand                    | 3
departure                 | 2
described                 | 9
design                    | 3
designed                  | 3
despite                   | 3
development               | 2
diagnosed                 | 3
diamond                   | 4
did                       | 6
didnt                     | 4
die                       | 6
died                      | 2
differences               | 2
different                 | 7
difficult                 | 5
digital                   | 3
directed                  | 4
direction                 | 4
director                  | 3
disc                      | 5
disco                     | 2
discography               | 6
discovered                | 2
disney                    | 2
distinctive               | 2
distributor               | 2
diverse                   | 2
dj                        | 3
do                        | 6
documentary               | 4
dog                       | 2
doherty                   | 3
doing                     | 4
dominion                  | 4
donald                    | 2
donated                   | 2
done                      | 6
dont                      | 7
double                    | 4
doug                      | 2
down                      | 11
drama                     | 2
dream                     | 4
drew                      | 4
driving                   | 2
dropped                   | 2
drummer                   | 4
drums                     | 4
due                       | 7
duet                      | 2
duke                      | 2
duo                       | 2
duration                  | 2
during                    | 23
dust                      | 10
dvd                       | 8
dvds                      | 2
each                      | 8
ealing                    | 3
earlier                   | 4
early                     | 22
eddie                     | 5
edinburgh                 | 2
edit                      | 3
edition                   | 5
editions                  | 2
edney                     | 6
edward                    | 2
effects                   | 2
efforts                   | 2
eight                     | 3
eleventh                  | 2
elizabeth                 | 4
ella                      | 2
elton                     | 9
eltons                    | 2
elvis                     | 2
embarked                  | 3
embrace                   | 2
emi                       | 13
enchanted                 | 2
encore                    | 2
encouraged                | 2
encyclopedia              | 2
end                       | 5
ended                     | 7
engineer                  | 2
england                   | 4
english                   | 2
enjoyed                   | 2
entertainment             | 2
entire                    | 2
ep                        | 2
epic                      | 3
episode                   | 11
episodes                  | 3
ericsson                  | 2
erlewine                  | 6
essential                 | 2
estadio                   | 2
estimates                 | 2
europe                    | 12
evans                     | 2
eve                       | 4
even                      | 2
evening                   | 3
event                     | 2
events                    | 4
ever                      | 19
everett                   | 2
every                     | 2
everyone                  | 4
everything                | 2
evolution                 | 2
exclusive                 | 3
exclusively               | 2
experience                | 3
experimentation           | 2
extent                    | 3
external                  | 2
extra                     | 2
extravaganza              | 2
eye                       | 6
face                      | 2
facilities                | 5
fact                      | 3
factor                    | 5
fairies                   | 2
fairy                     | 2
faith                     | 2
fall                      | 3
fame                      | 19
family                    | 6
fan                       | 3
fans                      | 14
far                       | 2
farewell                  | 2
farrell                   | 3
fat                       | 3
father                    | 4
favorite                  | 2
favourable                | 2
favourite                 | 13
fear                      | 2
feature                   | 5
featured                  | 28
features                  | 10
featuring                 | 9
february                  | 48
feeling                   | 2
feet                      | 2
felt                      | 3
festival                  | 10
few                       | 5
field                     | 2
fifth                     | 2
fight                     | 3
fighters                  | 4
file                      | 2
film                      | 25
filmed                    | 5
films                     | 8
final                     | 25
finale                    | 2
finalists                 | 3
find                      | 3
finest                    | 2
finish                    | 2
finished                  | 4
fire                      | 3
first                     | 68
fisher                    | 4
five                      | 21
flash                     | 6
fleet                     | 2
fletcher                  | 2
floyd                     | 3
fm                        | 2
